topic_1_weights,topic_1_words,topic_2_weights,topic_2_words,topic_3_weights,topic_3_words,topic_4_weights,topic_4_words,topic_5_weights,topic_5_words,topic_6_weights,topic_6_words,topic_7_weights,topic_7_words,topic_8_weights,topic_8_words,topic_9_weights,topic_9_words,topic_10_weights,topic_10_words
0.0,000,0.0,000,0.0,000,0.0,000,0.0,000,0.0,000,0.0,000,0.0,000,0.0,000,0.11057700253995505,000
0.0,11,0.0,11,0.0,11,0.15306500139804263,11,0.0,11,0.0,11,0.0,11,2.2142171843445475e-11,11,0.0,11,0.08807512465609671,11
0.0,19,0.12520791714185905,19,0.0,19,0.10251601322791662,19,0.0,19,0.0,19,0.0,19,0.0,19,0.0,19,0.0,19
0.0,1947,0.0,1947,0.012402577866700248,1947,0.03509734472770587,1947,0.0,1947,0.0,1947,0.0,1947,0.0,1947,0.0,1947,0.0,1947
0.0,2010,0.0,2010,0.0,2010,0.03885768409741364,2010,0.0,2010,0.0,2010,0.0,2010,0.01949927208365599,2010,0.0,2010,0.0,2010
0.0,2010s,0.0,2010s,0.0,2010s,0.0,2010s,0.0,2010s,0.0,2010s,0.0911248683543615,2010s,0.0,2010s,0.06208638601546318,2010s,0.0,2010s
0.0,2011,0.0,2011,0.0,2011,0.020405708175829294,2011,0.0,2011,0.0,2011,0.0,2011,0.08753541962291253,2011,0.0,2011,0.0,2011
0.0,2012,0.0,2012,0.0,2012,0.0,2012,0.0,2012,0.08121832878641003,2012,0.005083459594518702,2012,0.020497203165896465,2012,0.0,2012,0.0,2012
0.0,2014,0.0,2014,0.0,2014,0.052742971620219084,2014,0.0,2014,0.0,2014,0.0,2014,0.039789809096928405,2014,0.0,2014,0.0,2014
0.0,2015,0.0,2015,0.0,2015,0.06965612225464493,2015,0.0,2015,0.0,2015,0.03839549905518406,2015,0.056903618293870764,2015,0.0,2015,0.0,2015
0.0,2016,0.0,2016,0.0,2016,0.05632883809191583,2016,0.0,2016,0.0,2016,0.0,2016,0.07301642451690106,2016,0.05760444423494912,2016,0.02698000782760066,2016
0.0,2017,0.0,2017,0.0,2017,0.0,2017,0.0,2017,0.0,2017,0.0,2017,0.0941826804887858,2017,0.0,2017,0.0,2017
0.0,2018,0.013322826576309668,2018,0.0,2018,0.012221211602284109,2018,0.0,2018,0.0,2018,0.0,2018,0.03723659525658826,2018,0.0,2018,0.0,2018
0.0,2020,0.05356227732452226,2020,0.0,2020,0.03811063042855718,2020,0.0,2020,0.0,2020,0.0,2020,0.1197422084359249,2020,0.019117223563661464,2020,0.0,2020
0.0,2021,0.0,2021,0.0,2021,0.0,2021,0.0,2021,0.0,2021,0.0,2021,0.1287091506535383,2021,0.0,2021,0.0,2021
0.0,able,0.08382231855510681,able,0.0,able,0.0,able,0.0,able,0.0,able,0.0,able,0.0,able,0.0,able,0.0,able
0.0,abortion,0.0,abortion,0.0,abortion,0.0,abortion,0.10707386267364444,abortion,0.0,abortion,0.0,abortion,0.0,abortion,0.0,abortion,0.0,abortion
0.0,abuse,0.0,abuse,0.0,abuse,0.0,abuse,0.12433565181991797,abuse,0.0,abuse,0.0,abuse,0.0,abuse,0.0,abuse,0.0,abuse
0.0,access,0.0243175535914516,access,0.0,access,0.0379527282578421,access,0.0,access,0.0,access,0.0,access,0.0,access,0.01532313560486463,access,0.0,access
0.0,accident,0.0,accident,0.0,accident,0.0,accident,0.0,accident,0.0,accident,0.0,accident,0.0,accident,0.0,accident,0.12760608679532542,accident
0.0,account,0.0,account,0.0,account,0.0650503863423673,account,0.0,account,0.0,account,0.0,account,0.0,account,0.0,account,0.0,account
0.0,accounts,0.025551307740873327,accounts,0.0,accounts,0.021095184379510405,accounts,0.0,accounts,0.0,accounts,0.0,accounts,0.0,accounts,0.0,accounts,0.0,accounts
0.0,act,0.0,act,0.0,act,0.0,act,0.0239458969722342,act,0.06867362869465636,act,0.0,act,0.0,act,0.0,act,0.0,act
0.0,action,0.0,action,0.0,action,0.021536186674347098,action,0.0,action,0.0,action,0.0,action,0.0,action,0.07363326438218226,action,0.0,action
0.0,actions,0.0,actions,0.0,actions,0.0,actions,0.05442050843097858,actions,0.0,actions,0.0,actions,0.0,actions,0.0,actions,0.0,actions
0.0,activities,0.0,activities,0.05402872922770515,activities,0.045945740834053866,activities,0.0,activities,0.0,activities,0.0,activities,0.029311135102220612,activities,0.0,activities,0.0,activities
0.0,activity,1.600980108516854e-10,activity,0.0,activity,0.0,activity,0.15646383862348812,activity,0.0,activity,0.0,activity,0.0,activity,0.014674513057116378,activity,0.0,activity
0.10657698388784259,actor,0.0,actor,0.0,actor,0.0,actor,0.0,actor,0.0,actor,0.0,actor,0.0,actor,0.0,actor,0.0,actor
0.08420578891562941,actress,0.0,actress,0.0,actress,0.0,actress,0.0,actress,0.0,actress,0.0,actress,0.0,actress,0.0,actress,0.0,actress
0.0,acts,0.0,acts,0.0,acts,0.05393406097293889,acts,0.0,acts,0.0,acts,0.046577612606913295,acts,0.0,acts,0.0,acts,0.0,acts
0.0,actual,0.0,actual,0.0,actual,0.0,actual,0.0,actual,0.149174274339255,actual,0.0,actual,0.0,actual,0.0,actual,0.0,actual
0.0,actually,0.0,actually,0.0,actually,1.2118731816688598e-14,actually,0.0,actually,0.0,actually,0.0,actually,0.0,actually,0.3880597672293917,actually,0.0,actually
0.0,administration,0.0,administration,0.0,administration,0.043307232892533555,administration,0.0,administration,0.0,administration,0.0,administration,0.029141244761576666,administration,0.0,administration,0.02620435587151456,administration
0.0,advance,0.0,advance,0.0,advance,0.023869754436293744,advance,0.0,advance,0.0,advance,0.0,advance,0.0,advance,0.0,advance,0.0,advance
0.0,advanced,0.04001516400552923,advanced,0.0,advanced,0.0,advanced,0.0,advanced,0.0,advanced,0.0,advanced,0.0,advanced,0.026671744084469567,advanced,0.0,advanced
0.0,advances,0.0,advances,0.0,advances,0.03812089859874005,advances,0.0,advances,0.0,advances,0.0,advances,0.017818294374076567,advances,0.0,advances,0.0,advances
0.07359528247189935,adventurer,0.0,adventurer,0.0,adventurer,0.0,adventurer,0.0,adventurer,0.0,adventurer,0.0,adventurer,0.0,adventurer,0.0,adventurer,0.0,adventurer
0.0,advertisers,0.0,advertisers,0.0,advertisers,0.0,advertisers,0.0,advertisers,0.0,advertisers,0.0,advertisers,0.0,advertisers,0.0,advertisers,0.13185672593064332,advertisers
0.0,africa,0.0,africa,0.0,africa,0.0,africa,0.0,africa,0.0,africa,0.16356912797842046,africa,0.07126962502845731,africa,0.0,africa,0.0,africa
0.0,african,0.0,african,0.6069904811618013,african,0.0,african,0.0,african,0.0,african,0.0,african,0.0,african,0.0,african,0.0,african
0.0,age,0.0,age,0.0,age,0.0,age,0.0,age,0.0,age,0.0,age,0.0,age,0.06347262783626573,age,0.0,age
