topic_1_weights,topic_1_words,topic_2_weights,topic_2_words,topic_3_weights,topic_3_words,topic_4_weights,topic_4_words,topic_5_weights,topic_5_words,topic_6_weights,topic_6_words,topic_7_weights,topic_7_words,topic_8_weights,topic_8_words,topic_9_weights,topic_9_words,topic_10_weights,topic_10_words
0.0,000,0.013328628052220582,000,0.0,000,0.011432801850185848,000,0.0,000,0.0,000,0.00962559000133727,000,0.011892151192667625,000,0.008065712796671185,000,0.0,000
0.0,11,0.0,11,0.0,11,0.13886584962721604,11,0.0,11,0.0022998723730245003,11,0.000287343932479761,11,0.021955552304530404,11,0.0,11,0.00010232973554596194,11
0.0,19,0.009773078204221937,19,0.0,19,0.06853390071598843,19,0.00442386882778316,19,0.00032303624654241085,19,0.00456808510709667,19,0.022409598147827055,19,0.01724463028088878,19,0.0,19
0.0,1947,0.0,1947,0.008268816785241977,1947,0.010982178811140443,1947,0.004057738457380779,1947,0.00011184550546070954,1947,0.00013987941334915358,1947,0.01316700858302496,1947,0.006470657905266819,1947,0.0,1947
0.0,2010,0.009337979720496131,2010,0.0,2010,0.02535749046415463,2010,0.0,2010,0.0,2010,3.413716954317949e-05,2010,0.0025990478121674563,2010,0.0,2010,0.0,2010
0.0,2010s,0.0005677723267518437,2010s,0.001121553070065067,2010s,0.0,2010s,0.0010545045207599397,2010s,0.0,2010s,0.005536094928338341,2010s,0.007403029046556827,2010s,0.011034363647885355,2010s,0.0,2010s
0.0,2011,0.007623813629903929,2011,0.0,2011,0.019311594771795983,2011,0.0,2011,0.0,2011,0.0,2011,0.04198370496713023,2011,0.0,2011,0.0,2011
9.979810305384944e-05,2012,0.0006678067182154649,2012,0.0,2012,0.0008780287876152184,2012,0.0,2012,0.0,2012,0.0032410492174430867,2012,0.005699455684262169,2012,0.015611058382407563,2012,0.0,2012
0.0,2014,0.0,2014,0.0,2014,0.023545582477182317,2014,0.0,2014,0.0,2014,0.0,2014,0.05651425752742266,2014,0.0,2014,0.0,2014
4.428848006284525e-05,2015,0.005605293604746314,2015,0.0,2015,0.0,2015,0.00164359682230883,2015,0.0,2015,0.023099826071930434,2015,0.021836629425454345,2015,0.023009655776546883,2015,0.0,2015
0.0,2016,0.0028168399328626728,2016,0.0,2016,0.011834585995939466,2016,0.0,2016,0.000515194692990032,2016,0.002110107459363955,2016,0.04963511596230602,2016,0.035953210128133135,2016,0.003107605434968445,2016
0.0,2017,0.0036874374808499016,2017,0.0,2017,0.0,2017,0.0,2017,0.0,2017,0.000723939966372659,2017,0.10481397555569194,2017,0.0,2017,0.0,2017
0.0,2018,0.0,2018,0.0,2018,0.014258670646732054,2018,0.0,2018,0.0,2018,0.0005068661567416284,2018,0.00975501393384522,2018,0.001051754290807639,2018,1.1905054492456136e-05,2018
0.0,2020,0.01420066640284106,2020,0.007012769751705327,2020,0.015187887456442459,2020,0.0,2020,0.0005156272787023288,2020,0.0,2020,0.05063344178572092,2020,0.03082884503645294,2020,0.0,2020
0.0,2021,0.0,2021,0.0,2021,0.0,2021,0.0,2021,0.000510968901463609,2021,0.0011194196919438717,2021,0.1062178429152252,2021,0.0020995224884021147,2021,2.6622494421338018e-05,2021
0.0,able,0.020713576587013883,able,0.0,able,0.004565793157873192,able,0.019305095905180533,able,0.0,able,0.0,able,0.0,able,0.0022341192226282163,able,0.0,able
0.0,abortion,0.011413601887874804,abortion,0.025265300454642852,abortion,0.0,abortion,0.06066541656040753,abortion,0.0,abortion,0.0,abortion,0.00014383018284818165,abortion,0.0,abortion,0.0,abortion
0.0,abuse,0.0,abuse,0.0,abuse,0.01711781261767258,abuse,0.07107806397152036,abuse,0.0,abuse,0.00019018026187247124,abuse,0.0,abuse,0.0,abuse,0.0,abuse
0.0,access,0.0,access,5.135226654863915e-05,access,0.026554470905587664,access,0.0006190787050312001,access,0.0,access,0.00022452875799827403,access,0.0009318619750530753,access,0.018047649709105447,access,3.987337442779711e-06,access
0.0,accident,0.000517563257963585,accident,0.0,accident,0.0056033385390962375,accident,4.1264910117070605e-05,accident,0.00015148565078682973,accident,0.0006113049365589034,accident,0.003211562002141518,accident,0.001596547168676719,accident,0.003292385176230787,accident
0.0,account,0.0,account,0.0,account,0.024087739269377784,account,0.0008808129581111225,account,0.0,account,0.0,account,0.0,account,0.0,account,3.956580110438927e-05,account
0.0,accounts,0.0,accounts,0.0,accounts,0.02789599344752408,accounts,0.0,accounts,0.0,accounts,0.0,accounts,0.0,accounts,0.0,accounts,0.0,accounts
0.00012402918615562978,act,0.0,act,0.0,act,0.010430659244605745,act,0.004407538434314895,act,0.004588723886414185,act,0.0,act,0.004509005382763589,act,0.00629050308222585,act,2.949429696570991e-06,act
0.0,action,0.0,action,0.0,action,0.01731097623838593,action,0.0,action,0.0,action,0.0,action,0.0,action,0.026549585844639217,action,3.331317735361911e-05,action
0.0,actions,0.0009041164885840446,actions,0.0006890912437928441,actions,0.00031682206528174434,actions,0.0034914382915212936,actions,0.0007420382922094189,actions,0.0,actions,0.0028586706279437658,actions,0.011381094408079748,actions,0.0,actions
0.0,activities,0.0,activities,0.05816581926651979,activities,0.05095432299174801,activities,0.0,activities,0.0,activities,0.0,activities,0.027123222161040912,activities,0.0,activities,0.0,activities
0.0,activity,0.021433559161866404,activity,0.0,activity,0.025340013471921434,activity,0.023030137247111036,activity,0.03002964432670557,activity,0.002492821276588582,activity,0.0,activity,0.03154795596237395,activity,0.0,activity
0.04506134295650285,actor,0.0,actor,0.0,actor,0.0,actor,0.0012227862798879544,actor,0.0011295612968348439,actor,0.0,actor,0.0,actor,0.012557820183978009,actor,0.0,actor
0.05229124334531165,actress,0.0,actress,0.0,actress,0.0,actress,0.0,actress,0.0,actress,0.0,actress,0.0,actress,0.0,actress,0.0,actress
0.0,acts,0.007156390958651637,acts,0.0,acts,0.043410056576534885,acts,0.0,acts,0.0,acts,0.03628195588902091,acts,0.0,acts,0.0,acts,0.0,acts
0.0,actual,0.0015601342315136775,actual,0.0,actual,0.0,actual,0.0006735462971711101,actual,0.0053326467082797915,actual,0.0,actual,0.0067025536026253255,actual,0.0021893381412896517,actual,0.0,actual
0.0,actually,0.042386423254733255,actually,0.008338975314056396,actually,0.0,actually,0.0,actually,0.0,actually,0.0,actually,0.06514396233489261,actually,0.10411526574486711,actually,0.0,actually
0.0,administration,0.0,administration,0.0,administration,0.0042358058610355576,administration,0.0,administration,0.0,administration,0.00017825407992442488,administration,0.016055607564883275,administration,0.01528199036724595,administration,3.281221731732301e-05,administration
0.0,advance,0.0,advance,0.0,advance,0.027170106609595113,advance,0.0,advance,0.0,advance,0.0,advance,0.0,advance,0.0,advance,0.0,advance
0.0,advanced,0.014592168380411191,advanced,0.0,advanced,0.0009979958665508111,advanced,0.0,advanced,0.0,advanced,8.125102688109842e-05,advanced,0.0,advanced,0.02794237403016483,advanced,0.0,advanced
0.0,advances,8.136360392871453e-05,advances,0.0,advances,0.002815476063044327,advances,0.0,advances,9.258910807948033e-05,advances,0.0019035950002511328,advances,0.003603319599663809,advances,0.004972559922052569,advances,0.0,advances
0.04139380132646483,adventurer,0.0,adventurer,0.0,adventurer,0.0,adventurer,0.0,adventurer,0.0,adventurer,0.0,adventurer,0.0,adventurer,0.0,adventurer,0.0,adventurer
0.0,advertisers,0.0,advertisers,0.0,advertisers,0.028365140807639244,advertisers,0.0,advertisers,0.0,advertisers,0.0011155896601793452,advertisers,0.0,advertisers,0.0,advertisers,4.214106279887042e-06,advertisers
0.0,africa,0.007594722405776771,africa,0.004993887601809965,africa,0.04708975023925493,africa,0.002871231671563051,africa,0.0,africa,0.006736792650423047,africa,0.01786711981757829,africa,0.0,africa,5.628678227066395e-05,africa
0.0,african,0.0,african,0.8272605269320971,african,0.005282757287283257,african,0.0015504318843203536,african,0.0,african,0.0,african,0.0,african,0.0,african,0.0,african
0.0,age,0.0,age,0.0,age,0.0004035922287257435,age,0.0004517578806916043,age,0.0,age,0.0012272537806788566,age,0.0,age,0.0188017028532511,age,0.0,age
0.0,agencies,0.0,agencies,0.0,agencies,0.06044622824082009,agencies,0.0,agencies,0.0,agencies,0.0,agencies,0.0,agencies,0.00748821817035642,agencies,0.0,agencies
6.67326892374767e-05,agenda,0.0,agenda,0.0,agenda,0.0,agenda,0.0,agenda,0.00024645733670321387,agenda,0.0,agenda,0.00046035920405917177,agenda,0.019376607570403864,agenda,0.0,agenda
