index,tags,text,top_sent_1,top_sent_tag_1,top_sent_score_1,top_sent_2,top_sent_tag_2,top_sent_score_2,top_sent_3,top_sent_tag_3,top_sent_score_3,top_sent_4,top_sent_tag_4,top_sent_score_4,top_sent_5,top_sent_tag_5,top_sent_score_5
0,Conspiracy,Central Intelligence Agency was responsible for the assassination of President John F. Kennedy.,"Lee Harvey Oswald did not act alone in the assassination of President John F. Kennedy – FBI, CIA or the Mafia likely played a role.",Conspiracy,0.7001227140426636,The CIA was involved in the assassination of Martin Luther King.,Conspiracy,0.6554816961288452,The US government covered up crucial information in the aftermath of J. F. Kennedy’s assassination.,Conspiracy,0.6349619626998901,President Kennedy was killed by an organized conspiracy.,Conspiracy,0.6334152221679688,Lee Harvey Oswald killed President Kennedy on his own.,Conspiracy,0.6316932439804077
1,Conspiracy,the 1996 crash of TWA flight 800 was caused by a U.S. military missile.,"United Airlines Flight 93, which is said to have crashed in Pennsylvania, was actually downed by the US military.",Conspiracy,0.6673490405082703,"Pentagon explosion on 9/11 was caused by a missile, fired as the opening salvo of a coup d’etat by the military-industrial complex, rather than by American Airlines Flight 77.",Conspiracy,0.6408318281173706,"The Pentagon was not hit by a passenger aircraft but something smaller, possibly a missile.",Conspiracy,0.584027886390686,The US government is behind the disappearance of Malaysia Airlines Flight 370.,Conspiracy,0.5000461339950562,9/11 was purely a plane accident.,Conspiracy,0.4785391390323639
2,Conspiracy,plane crash that killed Democrat Paul Wellstone was engineered by Republican politicians.,George Bush and other Republicans conspired with Iranian officials to delay the release of American hostages until after the 1980 elections.,Conspiracy,0.4627513885498047,"Rafael Cruz, the father of Texas Senator and Republican presidential candidate for the 2016 elections Ted Cruz, had ties to Lee Harvey Oswald for the Assassination of John F. Kennedy.",Conspiracy,0.462471604347229,"The Watergate hotel room used by Democratic National Committee was bugged by Republican officials, operating at the behest of the White House.",Fact,0.45976176857948303,The health insurance industry is run mostly by Democrats.,Misconception,0.45060044527053833,Certain world leading political figures who died untimely deaths were in fact “taken out” by government operatives.,Conspiracy,0.4320127069950104
3,Conspiracy,"Martin Luther King, Jr., was killed by federal agents.","Martin Luther King, Jr. is the best civil rights leader.",Controversy,0.6917454600334167,Martin Luther King Jr. is the best social reformer.,Controversy,0.6489948630332947,The CIA was involved in the assassination of Martin Luther King.,Conspiracy,0.6486446261405945,Central Intelligence Agency was responsible for the assassination of President John F. Kennedy.,Conspiracy,0.453675776720047,President Kennedy was killed by an organized conspiracy.,Conspiracy,0.4530544877052307
4,Conspiracy,the Trilateral Commission is responsible for important movements of the international economy.,"A small, secret group of people is actually in control of the world economy.",Conspiracy,0.34741640090942383,The US government is behind the global financial crisis.,Controversy,0.3391513526439667,A secret society caled the Bilderberg Group is attempting to control global affairs.,Conspiracy,0.302315354347229,"A small, secret group of people is responsible for making all major world decisions, such as going to war.",Conspiracy,0.3021082282066345,The power held by heads of state is second to that of small unknown groups who really control world politics.,Conspiracy,0.30124762654304504
5,Conspiracy,global warming is a deliberate fraud.,the threat of global warming is an attempt to promote nuclear power.,Conspiracy,0.6148549914360046,Climate change is real and caused by human activity.,Fact,0.5678572654724121,The science behind global warming has been invented or distorted out of self-interest.,Conspiracy,0.5581434965133667,scientific consensus on global warming is based on conspiracies to produce manipulated data or suppress dissent for ideological or financial reasons.,Conspiracy,0.5563343167304993,climate change is a hoax perpetrated by the Chinese.,Conspiracy,0.5560500621795654
6,Conspiracy,doctors deliberately manufactured the AIDS virus as the product of a biowarfare program targeting gay people.,The government deliberately spread the AIDS virus in the homosexual community.,Conspiracy,0.6194690465927124,The AIDS virus was created deliberately in a government laboratory.,Conspiracy,0.5663779973983765,The HIV virus has been deliberately spread amongst groups such as homosexuals and African Americans.,Conspiracy,0.5601836442947388,The government deliberately spread the AIDS virus in the black community.,Conspiracy,0.5520645976066589,"HIV was deliberately created by humans in the laboratory, and the pharmaceutical industry promotes the HIV hypothesis to sell expensive yet harmful antiretroviral drugs.",Conspiracy,0.48017385601997375
7,Fact,"The Watergate hotel room used by Democratic National Committee was bugged by Republican officials, operating at the behest of the White House.",Watergate incident: Nixon had approved plans to cover up his administration's involvement in the break-in had later tried to use federal officials to deflect attention from the investigation.,Fact,0.5771017074584961,plane crash that killed Democrat Paul Wellstone was engineered by Republican politicians.,Conspiracy,0.45976176857948303,George Bush and other Republicans conspired with Iranian officials to delay the release of American hostages until after the 1980 elections.,Conspiracy,0.44957104325294495,former President Barack Obama's administration had wiretapped Donald Trump’s phones at his Trump Tower office late in the 2016 presidential campaign.,Conspiracy,0.4486673176288605,"In May 2018, the Obama administration had put a spy in President Donald Trump’s 2016 presidential campaign for political purposes.",Conspiracy,0.43356573581695557
8,Fact,"In the 1950s, the Central Intelligence Agency administered LSD and related drugs under Project MKULTRA, in an effort to investigate the possibility of “mind control”.",Drug companies falsify their data on the effectiveness of their drugs.,Controversy,0.4348165690898895,The CIA is involved in drug trafficking.,Conspiracy,0.4220741093158722,Drug companies call normal behaviour a disorder so they can invent drugs to cure it.,Controversy,0.39753732085227966,The mass suicide of Jonestown was actually a CIA-backed exercise in mind control and brainwashing.,Conspiracy,0.39379578828811646,The government is using mind control to manipulate people.,Conspiracy,0.3865717053413391
9,Fact,"Operation Northwoods, a rumored plan by the Department of Defense to simulate acts of terrorism and to blame them on Cuba, really was proposed by high-level officials (though the plan never went into effect).",The 9/11 attack was staged by the government.,Conspiracy,0.44177454710006714,Government agencies have been secretly involved in the assassination of their own citizens.,Conspiracy,0.4365626573562622,"Government and military exercises (or ‘war games’) were intentionally held on September 11, 2001 to deliberately confuse military personnel and therefore to allow the attacks to take place.",Conspiracy,0.4135831892490387,"Pentagon explosion on 9/11 was caused by a missile, fired as the opening salvo of a coup d’etat by the military-industrial complex, rather than by American Airlines Flight 77.",Conspiracy,0.4087773561477661,Reports that some of the 9/11 plane hijackers are still alive prove that others were responsible for the attacks.,Conspiracy,0.4015379250049591
10,Fiction,"a secret group of elves, working in a remote location under the leadership of the mysterious “Santa Claus,” make and distribute presents on Christmas Eve.",Santa Claus lives at the North Pole.,Fiction,0.5462909936904907,The common image of Santa Claus as a jolly old man in red robes was created by The Coca-Cola Company.,Misconception,0.40955668687820435,There is a attack on Christian traditions during the holiday season.,Controversy,0.391062468290329,Xmas originated as a secular plan to take the Christ out of Christmas.,Misconception,0.37889939546585083,"A small, secret group of people is actually in control of the world economy.",Conspiracy,0.35818400979042053
