topic_1_weights,topic_1_words,topic_2_weights,topic_2_words,topic_3_weights,topic_3_words,topic_4_weights,topic_4_words,topic_5_weights,topic_5_words,topic_6_weights,topic_6_words,topic_7_weights,topic_7_words,topic_8_weights,topic_8_words,topic_9_weights,topic_9_words,topic_10_weights,topic_10_words
0.0,000,0.0,000,0.0,000,0.0,000,0.0,000,0.0,000,0.0461965865732054,000,0.0,000,0.0,000,0.048551887871461,000
0.0,11,0.0,11,0.0,11,0.2147266864451492,11,0.0,11,0.0,11,0.0,11,4.653031837209902e-13,11,0.0,11,1.8748620041898346e-13,11
0.0,19,0.1261655594112429,19,0.0,19,0.1055851722083596,19,0.0,19,0.0,19,0.0,19,0.0,19,0.0,19,0.0,19
0.0,1947,0.0,1947,2.2595391233458736e-12,1947,0.0428442514292962,1947,0.0,1947,0.0,1947,0.0,1947,4.268217572562277e-15,1947,0.0,1947,1.6872451948636037e-10,1947
0.0,2010,1.4183519635439751e-09,2010,0.0,2010,0.0405337429224915,2010,0.0,2010,8.026327580605284e-13,2010,0.0,2010,0.0255835406330281,2010,0.0,2010,0.0,2010
0.0,2010s,0.0,2010s,0.0,2010s,0.0,2010s,0.0,2010s,0.0932456626871722,2010s,0.0244096390675589,2010s,0.0,2010s,0.0,2010s,0.0832279729198472,2010s
0.0,2011,0.0499482947152094,2011,0.0,2011,6.72410356537942e-13,2011,0.0,2011,0.0,2011,0.0,2011,0.0687440110443323,2011,0.0,2011,0.0,2011
0.0,2012,0.0,2012,0.0,2012,0.0,2012,0.0,2012,0.1086814342916231,2012,0.0,2012,0.0,2012,0.0,2012,0.0,2012
0.0,2014,0.0,2014,0.0,2014,0.0639162961561939,2014,0.0,2014,0.0,2014,0.0,2014,0.0423220452891001,2014,0.0,2014,0.0,2014
0.0,2015,1.4341335428259372e-14,2015,0.0,2015,0.0833618330252704,2015,0.0,2015,0.0,2015,0.0352809064474023,2015,0.0657349945684323,2015,0.0,2015,0.0,2015
0.0,2016,0.0,2016,0.0,2016,0.0458956578242065,2016,0.0,2016,3.676083356156223e-09,2016,0.0,2016,0.0822564500895918,2016,0.0772405723734643,2016,0.03587073676094,2016
0.0,2017,0.0,2017,0.0,2017,0.0,2017,0.0,2017,0.0,2017,0.0,2017,0.1015305197151659,2017,0.0,2017,0.0,2017
0.0,2018,0.0154472659366271,2018,0.0,2018,0.0,2018,0.0,2018,0.0,2018,0.0,2018,0.0392288551589832,2018,0.0,2018,0.0156907185014176,2018
0.0,2020,2.177429526761436e-10,2020,0.0,2020,6.513336861761435e-10,2020,0.0,2020,0.0,2020,0.0,2020,0.2546078941670462,2020,3.2874524593040998e-15,2020,0.0,2020
