name,tags,sub_tags,True or not?,Previous Tags,Comment,paper link,data_source,GPT3 believes?,text,text_len
"Central Intelligence Agency was
responsible for the assassination of President John F. Kennedy",Conspiracy,Political,False,conspiracy theory paper,,https://chicagounbound.uchicago.edu/law_and_economics/119/,CT papers,,Central Intelligence Agency was responsible for the assassination of President John F. Kennedy.,94
"the 1996 crash of TWA flight 800 was caused by a
U.S. military missile",Conspiracy,Political,False,conspiracy theory paper,,https://chicagounbound.uchicago.edu/law_and_economics/119/,CT papers,,the 1996 crash of TWA flight 800 was caused by a U.S. military missile.,70
"plane crash
that killed Democrat Paul Wellstone was engineered by Republican politicians",Conspiracy,Political,False,conspiracy theory paper,,https://chicagounbound.uchicago.edu/law_and_economics/119/,CT papers,,plane crash that killed Democrat Paul Wellstone was engineered by Republican politicians.,88
"Martin Luther King, Jr., was killed by federal agents",Conspiracy,Political,False,conspiracy theory paper,,https://chicagounbound.uchicago.edu/law_and_economics/119/,CT papers,,"Martin Luther King, Jr., was killed by federal agents.",53
"the
Trilateral Commission is responsible for important movements of the international
economy",Conspiracy,Political,False,conspiracy theory paper,,https://chicagounbound.uchicago.edu/law_and_economics/119/,CT papers,,the Trilateral Commission is responsible for important movements of the international economy.,93
global warming is a deliberate fraud,Conspiracy,"Environment, Science",False,conspiracy theory paper,,https://chicagounbound.uchicago.edu/law_and_economics/119/,CT papers,,global warming is a deliberate fraud.,36
doctors deliberately manufactured the AIDS virus as the product of a biowarfare program targeting gay people,Conspiracy,"Medicine, Science",False,conspiracy theory paper,,https://chicagounbound.uchicago.edu/law_and_economics/119/,CT papers,,doctors deliberately manufactured the AIDS virus as the product of a biowarfare program targeting gay people.,108
"The Watergate hotel room used by Democratic National Committee was bugged by Republican officials, operating at the behest of the White House",Fact,Political,True,conspiracy theory paper,,https://chicagounbound.uchicago.edu/law_and_economics/119/,CT papers,,"The Watergate hotel room used by Democratic National Committee was bugged by Republican officials, operating at the behest of the White House.",141
"In the 1950s,
the Central Intelligence Agency administered LSD and related drugs under
Project MKULTRA, in an effort to investigate the possibility of “mind control”",Fact,"Political, Science",True,conspiracy theory paper,,https://chicagounbound.uchicago.edu/law_and_economics/119/,CT papers,,"In the 1950s, the Central Intelligence Agency administered LSD and related drugs under Project MKULTRA, in an effort to investigate the possibility of “mind control”.",165
"Operation Northwoods, a rumored plan by the Department of Defense to simulate acts of
terrorism and to blame them on Cuba, really was proposed by high-level officials (though
the plan never went into effect)",Fact,Political,True,conspiracy theory paper,,https://chicagounbound.uchicago.edu/law_and_economics/119/,CT papers,,"Operation Northwoods, a rumored plan by the Department of Defense to simulate acts of terrorism and to blame them on Cuba, really was proposed by high-level officials (though the plan never went into effect).",207
"a secret group of elves, working in a remote location under the leadership of the mysterious “Santa Claus,” make and distribute presents on Christmas Eve.",Fiction,Characters,False,conspiracy theory paper,,https://chicagounbound.uchicago.edu/law_and_economics/119/,CT papers,,"a secret group of elves, working in a remote location under the leadership of the mysterious “Santa Claus,” make and distribute presents on Christmas Eve.",154
Easter Bunny is real,Fiction,Characters,False,conspiracy theory paper,,https://chicagounbound.uchicago.edu/law_and_economics/119/,CT papers,,Easter Bunny is real.,20
Toot faity is real and leaves pennies in exchange of tooth when the tooth are kept under the pillow at night,Fiction,Characters,False,conspiracy theory paper,,https://chicagounbound.uchicago.edu/law_and_economics/119/,CT papers,,Toot faity is real and leaves pennies in exchange of tooth when the tooth are kept under the pillow at night.,108
"prolonged exposure to sunlight is actually
healthy",Controversy,Science,False,conspiracy theory paper,,https://chicagounbound.uchicago.edu/law_and_economics/119/,CT papers,,prolonged exposure to sunlight is actually healthy.,50
climate change is neither occurring nor likely to occur,Conspiracy,"Environment, Science",False,conspiracy theory paper,,https://chicagounbound.uchicago.edu/law_and_economics/119/,CT papers,,climate change is neither occurring nor likely to occur.,55
World War II did not happened,Conspiracy,History,False,conspiracy theory paper,Holocaust Revisionists,https://chicagounbound.uchicago.edu/law_and_economics/119/,CT papers,,World War II did not happened.,29
Marilyn Monroe was more ‘real’ than King Kong or Donald Duck.,Fiction,Fiction vs Real Characters,True,conspiracy theory paper,Another lines of facts that can be updated: cartoon characters and comparison to humans,https://chicagounbound.uchicago.edu/law_and_economics/119/,CT papers,,Marilyn Monroe was more ‘real’ than King Kong or Donald Duck.,61
"Pentagon explosion on 9/11 was caused by a missile, fired as the opening salvo of a coup d’etat by the military-industrial complex, rather than by American Airlines Flight 77",Conspiracy,"9/11, Political",False,conspiracy theory paper,"French author Thierry Meyssan, whose book “9/11: The Big Lie” became a bestseller and
a sensation for its claims",https://chicagounbound.uchicago.edu/law_and_economics/119/,CT papers,,"Pentagon explosion on 9/11 was caused by a missile, fired as the opening salvo of a coup d’etat by the military-industrial complex, rather than by American Airlines Flight 77.",174
Lee Harvey Oswald killed President Kennedy on his own,Conspiracy,Political,False,conspiracy theory paper,,https://chicagounbound.uchicago.edu/law_and_economics/119/,CT papers,,Lee Harvey Oswald killed President Kennedy on his own.,53
9/11 was purely a plane accident,Conspiracy,"9/11, Political",False,conspiracy theory paper,,https://chicagounbound.uchicago.edu/law_and_economics/119/,CT papers,,9/11 was purely a plane accident.,32
secret service agencies routinely violate privacy laws,Controversy,Political,Plausible,Belief in conspiracy theory paper,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6282974/,CT papers,,secret service agencies routinely violate privacy laws.,54
Watergate incident: Nixon had approved plans to cover up his administration's involvement in the break-in had later tried to use federal officials to deflect attention from the investigation.,Fact,Political,True,Belief in conspiracy theory paper,description source: wikipedia,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6282974/,CT papers,,Watergate incident: Nixon had approved plans to cover up his administration's involvement in the break-in had later tried to use federal officials to deflect attention from the investigation.,191
 There were incidents of corporate corruption in the US,Fact,Political,True,Belief in conspiracy theory paper,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6282974/,CT papers,,There were incidents of corporate corruption in the US.,55
climate change is a hoax perpetrated by the Chinese,Conspiracy,"Environment, Regional, Science",False,Belief in conspiracy theory paper,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6282974/,CT papers,,climate change is a hoax perpetrated by the Chinese.,51
vaccines cause autism,Conspiracy,"Medicine, Science",False,Belief in conspiracy theory paper,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6282974/,CT papers,,vaccines cause autism.,21
Contraceptives are a form of Black genocide. They are intended to eradicate Black people.,Conspiracy,Racial,False,Belief in conspiracy theory paper,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6282974/,CT papers,,Contraceptives are a form of Black genocide. They are intended to eradicate Black people.,89
"HIV was deliberately created by humans in the laboratory, and the pharmaceutical industry promotes the HIV hypothesis to sell expensive yet harmful antiretroviral drugs.",Conspiracy,"Medicine, Science",False,Belief in conspiracy theory paper,"one convinced believer of AIDS conspiracy theories was Thabo Mbeki, President of South Africa from 1999 to 2008. Statistical model estimates indicate that in the period between 2000 and 2005, approximately 330,000 South African people died due to governmental decisions not to implement antiretroviral treatment programs",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6282974/,CT papers,,"HIV was deliberately created by humans in the laboratory, and the pharmaceutical industry promotes the HIV hypothesis to sell expensive yet harmful antiretroviral drugs.",169
condom use causes HIV infections,Conspiracy,"Medicine, Science",False,Belief in conspiracy theory paper,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6282974/,CT papers,,condom use causes HIV infections.,32
Nero and his loyal servants deliberately had ignited the great fire of Rome in the year 64 AD,Conspiracy,Political,False,Belief in conspiracy theory paper,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6282974/,CT papers,,Nero and his loyal servants deliberately had ignited the great fire of Rome in the year 64 AD.,93
There are young women who conspire with the Devil and therefore need to be burnt alive,Conspiracy,Mythical / Supernatural,False,Belief in conspiracy theory paper,Witch hunting,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6282974/,CT papers,,There are young women who conspire with the Devil and therefore need to be burnt alive.,86
Modern technology is a form of sorcery designed by hostile Western plots to harm or control others,Conspiracy,"Regional, Science",False,Belief in conspiracy theory paper,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6282974/,CT papers,,Modern technology is a form of sorcery designed by hostile Western plots to harm or control others.,98
 Testing for COVID-19 is a means to inserting microchips into our brain,Conspiracy,"Covid19, Science",False,"Covid19, Finding Someone to Blame paper",,https://www.frontiersin.org/articles/10.3389/fpsyg.2021.726076/full,CT papers,,Testing for COVID-19 is a means to inserting microchips into our brain.,71
Lockdown and vaccination are government means to control the masses,Conspiracy,"Covid19, Political, Science",False,"Covid19, Finding Someone to Blame paper",,https://www.frontiersin.org/articles/10.3389/fpsyg.2021.726076/full,CT papers,,Lockdown and vaccination are government means to control the masses.,67
COVID-19 is a biological weapon intended to eliminate the overcrowded human population,Conspiracy,"Covid19, Science",False,"Covid19, Finding Someone to Blame paper",,https://www.frontiersin.org/articles/10.3389/fpsyg.2021.726076/full,CT papers,,COVID-19 is a biological weapon intended to eliminate the overcrowded human population.,86
"COVID-19 (coronavirus) is only a fabrication, it is an ordinary flu that pharmaceutical companies rebranded to increase the sales of drugs",Conspiracy,"Company / Pharmacy / Organization, Covid19",False,"Covid19, Finding Someone to Blame paper",,https://www.frontiersin.org/articles/10.3389/fpsyg.2021.726076/full,CT papers,,"COVID-19 (coronavirus) is only a fabrication, it is an ordinary flu that pharmaceutical companies rebranded to increase the sales of drugs.",138
The Chinese government already has the cure for COVID-19 (coronavirus) but they are keeping it secret,Conspiracy,"Covid19, Political, Regional, Science",False,"Covid19, Finding Someone to Blame paper",,https://www.frontiersin.org/articles/10.3389/fpsyg.2021.726076/full,CT papers,,The Chinese government already has the cure for COVID-19 (coronavirus) but they are keeping it secret.,101
The state took all the face masks and respirators so that it could give them away to the select few,Conspiracy,"Covid19, Political, Science",False,"Covid19, Finding Someone to Blame paper",,https://www.frontiersin.org/articles/10.3389/fpsyg.2021.726076/full,CT papers,,The state took all the face masks and respirators so that it could give them away to the select few.,99
The USA is using the SARS-CoV-2 (coronavirus) to settle its conflicts with China,Conspiracy,"Covid19, Political, Science",False,"Covid19, Finding Someone to Blame paper",,https://www.frontiersin.org/articles/10.3389/fpsyg.2021.726076/full,CT papers,,The USA is using the SARS-CoV-2 (coronavirus) to settle its conflicts with China.,80
SARS-CoV-2 (coronavirus) was created by the USA to disrupt the European Union so that they could subsequently “save it”,Conspiracy,"Covid19, Political, Science",False,"Covid19, Finding Someone to Blame paper",,https://www.frontiersin.org/articles/10.3389/fpsyg.2021.726076/full,CT papers,,SARS-CoV-2 (coronavirus) was created by the USA to disrupt the European Union so that they could subsequently “save it”.,119
"COVID-19 (coronavirus) epidemic could have been stopped right at the start,
but the large companies made a business out of keeping it going",Conspiracy,"Company / Pharmacy / Organization, Covid19, Science",False,"Covid19, Finding Someone to Blame paper",,https://www.frontiersin.org/articles/10.3389/fpsyg.2021.726076/full,CT papers,,"COVID-19 (coronavirus) epidemic could have been stopped right at the start, but the large companies made a business out of keeping it going.",139
"The governments are concealing the real numbers of fatalities especially
in children and young people, to prevent panic",Controversy,"Covid19, Political, Science",False,"Covid19, Finding Someone to Blame paper",,https://www.frontiersin.org/articles/10.3389/fpsyg.2021.726076/full,CT papers,,"The governments are concealing the real numbers of fatalities especially in children and young people, to prevent panic.",119
"SARS-CoV-2
(coronavirus) is artificially created to increase people’s
dependency on the pharmaceutical business",Conspiracy,"Company / Pharmacy / Organization, Science",False,"Covid19, Finding Someone to Blame paper",,https://www.frontiersin.org/articles/10.3389/fpsyg.2021.726076/full,CT papers,,SARS-CoV-2 (coronavirus) is artificially created to increase people’s dependency on the pharmaceutical business.,111
"China is responsible for the spread of the SARS-CoV-2 (coronavirus) – it is
its revenge for the protests in Hong Kong",Conspiracy,"Covid19, Political, Science",False,"Covid19, Finding Someone to Blame paper",,https://www.frontiersin.org/articles/10.3389/fpsyg.2021.726076/full,CT papers,,China is responsible for the spread of the SARS-CoV-2 (coronavirus) – it is its revenge for the protests in Hong Kong.,117
The Chinese created SARS-CoV-2 (coronavirus) as a biological weapon which then got out of hand.,Conspiracy,"Covid19, Political, Science",False,"Covid19, Finding Someone to Blame paper",,https://www.frontiersin.org/articles/10.3389/fpsyg.2021.726076/full,CT papers,,The Chinese created SARS-CoV-2 (coronavirus) as a biological weapon which then got out of hand.,95
"The Chinese government intentionally sells ineffective face masks and dubious
tests for the coronavirus to Europe to make the course of the pandemic worse in those countries.",Conspiracy,"Covid19, Political, Science",False,"Covid19, Finding Someone to Blame paper",,https://www.frontiersin.org/articles/10.3389/fpsyg.2021.726076/full,CT papers,,The Chinese government intentionally sells ineffective face masks and dubious tests for the coronavirus to Europe to make the course of the pandemic worse in those countries.,174
Bill Gates sponsors vaccines against COVID-19 so that he can spread nano-chips into people through them.,Conspiracy,"Company / Pharmacy / Organization, Covid19",False,"Covid19, Finding Someone to Blame paper",,https://www.frontiersin.org/articles/10.3389/fpsyg.2021.726076/full,CT papers,,Bill Gates sponsors vaccines against COVID-19 so that he can spread nano-chips into people through them.,104
"Governments want to use compulsory vaccination against COVID-19 to achieve
monitoring of the population.",Conspiracy,"Covid19, Political, Science",False,"Covid19, Finding Someone to Blame paper",,https://www.frontiersin.org/articles/10.3389/fpsyg.2021.726076/full,CT papers,,Governments want to use compulsory vaccination against COVID-19 to achieve monitoring of the population.,104
"Widespread testing is a way for the government to obtain the DNA of the
population so that it can subsequently harbor it and abuse it.",Conspiracy,"Covid19, Political, Science",False,"Covid19, Finding Someone to Blame paper",,https://www.frontiersin.org/articles/10.3389/fpsyg.2021.726076/full,CT papers,,Widespread testing is a way for the government to obtain the DNA of the population so that it can subsequently harbor it and abuse it.,134
"Reporters, scientists, and government all take part in concealing important
information about the association between COVID-19 and 5G network.",Conspiracy,"Covid19, Political, Science",False,"Covid19, Finding Someone to Blame paper",,https://www.frontiersin.org/articles/10.3389/fpsyg.2021.726076/full,CT papers,,"Reporters, scientists, and government all take part in concealing important information about the association between COVID-19 and 5G network.",142
COVID-19 pandemic is intentionally used for the genocide of domestic population to make a room for migrants to move in.,Conspiracy,"Covid19, Regional",False,"Covid19, Finding Someone to Blame paper",,https://www.frontiersin.org/articles/10.3389/fpsyg.2021.726076/full,CT papers,,COVID-19 pandemic is intentionally used for the genocide of domestic population to make a room for migrants to move in.,119
